Model,Precision,Recall,F1-Score
Isolation Forest,0.2972972972972973,0.336734693877551,0.3157894736842105
Autoencoder,0.2772,0.8061,0.4125
Random Forest + SMOTE,0.8602150537634409,0.8163265306122449,0.837696335078534
